rank,state
1,California
1,Texas
52,Florida
2,New York
2,Pennsylvania
38,Illinois
3,Ohio
3,Georgia
28,North Carolina
4,Michigan
4,New Jersey
26,Virginia
5,Washington
5,Arizona
17,Tennessee
6,Massachusetts
6,Indiana
17,Missouri
7,Maryland
7,Wisconsin
15,Colorado
8,Minnesota
8,South Carolina
14,Alabama
9,Louisiana
9,Kentucky
14,Oregon
10,Oklahoma
10,Connecticut
13,Utah
11,Puerto Rico
11,Iowa
12,Nevada
12,Arkansas
12,Mississippi
11,Kansas
13,New Mexico
13,Nebraska
10,Idaho
14,West Virginia
14,Hawaii
9,New Hampshire
15,Maine
16,Montana
9,Rhode Island
16,Delaware
15,South Dakota
9,North Dakota
17,Alaska
17,Vermont
9,Wyoming
18,Guam
19,U.S. Virgin Islands
8,American Samoa
19,California
18,Texas
8,Florida
20,New York
20,Pennsylvania
8,Illinois
21,Ohio
21,Georgia
8,North Carolina
22,Michigan
22,New Jersey
8,Virginia
23,Washington
23,Arizona
7,Tennessee
24,Massachusetts
24,Indiana
7,Missouri
25,Maryland
25,Wisconsin
6,Colorado
26,Minnesota
26,South Carolina
6,Alabama
27,Louisiana
27,Kentucky
6,Oregon
28,Oklahoma
28,Connecticut
5,Utah
29,Puerto Rico
29,Iowa
5,Nevada
30,Arkansas
31,Mississippi
4,Kansas
31,New Mexico
30,Nebraska
32,Idaho
32,West Virginia
4,Hawaii
33,New Hampshire
33,Maine
4,Montana
34,Rhode Island
34,Delaware
4,South Dakota
35,North Dakota
35,Alaska
4,Vermont
36,Wyoming
36,Guam
4,U.S. Virgin Islands
37,American Samoa
37,California
3,Texas
38,Florida
38,New York
3,Pennsylvania
39,Illinois
39,Ohio
2,Georgia
40,North Carolina
40,Michigan
2,New Jersey
41,Virginia
41,Washington
2,Arizona
42,Tennessee
42,Massachusetts
2,Indiana
43,Missouri
43,Maryland
2,Wisconsin
44,Colorado
45,Minnesota
2,South Carolina
45,Alabama
44,Louisiana
2,Kentucky
46,Oregon
46,Oklahoma
1,Connecticut
47,Utah
47,Puerto Rico
1,Iowa
48,Nevada
48,Arkansas
1,Mississippi
49,Kansas
49,New Mexico
1,Nebraska
50,Idaho
50,West Virginia
51,Hawaii
